# CVS $Revision: $ $Author: $ -- Sun Dec 21 20:59:26 2008 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:Elements of Magic (Revised)	SOURCESHORT:EOM	SOURCEWEB:http://www.enworld.org/index.php?page=enpublishing




###Block: Boons ---------------------------------------------------------------------------
#Block: Minor Boons
# Ability Name			Output Name				Category of Ability	Type				Visible		Required Vision			Prohibited Vision				Special ABility			Description							Stackable?	Multiple?	Choose							Add 												Bonus to Ability Pool			Save checks bonus					Combat bonus		Bonus to skill rank	Vision			Source Page
Bonus Feat									CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo							STACK:YES	MULT:YES	CHOOSE:NOCHOICE						ADD:ABILITY|FEAT|NORMAL|TYPE.Metamagic,TYPE.ItemCreation,TYPE.Tradition																										SOURCEPAGE:1
Resist Fear									CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES													SAB:Resist Fear (Su)		DESC:Boo									MULT:NO																																														SOURCEPAGE:1
Animal Speak								CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES													SAB:Animal Speak, %CHOICE	DESC:Boo									MULT:YES	CHOOSE:RACE|RACETYPE=Animal																																									SOURCEPAGE:1
Magically Empowered							CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo									MULT:YES	CHOOSE:SKILLSNAMED|TYPE.Strength|TYPE.Dexterity																														BONUS:SKILLRANK|LIST|3					SOURCEPAGE:1
Minor Energy Resistance							CATEGORY:Magical Boon	TYPE:Minor Boon		VISIBLE:YES																		DESC:Boo									MULT:YES	CHOOSE:NOCHOICE																																											SOURCEPAGE:1



#Block: Moderate Boons
Uncanny Vision								CATEGORY:Magical Boon	TYPE:Moderate Boon									!PREVISION:1,Darkvision																STACK:YES	MULT:YES	CHOOSE:FEATADD|TYPE.BonusVision																																								SOURCEPAGE:1



Uncanny Vision 1			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO							!PREVISION:2,Low-Light,Darkvision																																																											VISION:Low-Light		SOURCEPAGE:1
Uncanny Vision 2			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO		PREVISION:1,Low-Light																																																																		VISION:Darkvision (30')	SOURCEPAGE:1
Uncanny Vision 3			OUTPUTNAME:Special Sight	CATEGORY:FEAT		TYPE:Hidden.BonusVision	VISIBLE:NO		PREVISION:1,Darkvision=30																																																																	VISION:Darkvision (30')	SOURCEPAGE:1

Two Minor Boons								CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES													SAB:Animagus (Sp)			DESC:Foo																															BONUS:ABILITYPOOL|Minor Boon|2																				SOURCEPAGE:1


Trackless Step (Su)							CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES													SAB:Trackless Step (Su)		DESC:Foo									MULT:NO																																														SOURCEPAGE:1
Magical Protection							CATEGORY:Magical Boon	TYPE:Moderate Boon	VISIBLE:YES																		DESC:Choose Intelligence, Wisdom, or Charisma.	STACK:NO	MULT:YES									ADD:FEAT|Magical Protection																																	SOURCEPAGE:1




#Block: Major Boons
Magical Protection ~ INT						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|INT|TYPE=Resistance													SOURCEPAGE:1
Magical Protection ~ WIS						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|WIS|TYPE=Resistance													SOURCEPAGE:1
Magical Protection ~ CHA						CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																							BONUS:CHECKS|ALL|CHA|TYPE=Resistance													SOURCEPAGE:1
Magical Defenses ~ INT							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|INT									SOURCEPAGE:1
Magical Defenses ~ WIS							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|WIS									SOURCEPAGE:1
Magical Defenses ~ CHA							CATEGORY:MagicalBoon	TYPE:Major Boon		VISIBLE:DISPLAY																																																														BONUS:COMBAT|AC|CHA									SOURCEPAGE:1


###Block: Spell Lists
# Ability Name			Category of Ability	Type						Description	Source Page
Infuse Life				CATEGORY:Spell Lists	TYPE:Infuse.Life				DESC:Foo	SOURCEPAGE:1
Infuse Lava				CATEGORY:Spell Lists	TYPE:Infuse.Lava				DESC:Foo	SOURCEPAGE:1
Infuse Lightning			CATEGORY:Spell Lists	TYPE:Infuse.Lightning			DESC:Foo	SOURCEPAGE:1
Infuse Mist				CATEGORY:Spell Lists	TYPE:Infuse.Mist				DESC:Foo	SOURCEPAGE:1
Infuse Ooze				CATEGORY:Spell Lists	TYPE:Infuse.Ooze				DESC:Foo	SOURCEPAGE:1
Infuse Acid				CATEGORY:Spell Lists	TYPE:Infuse.Acid				DESC:Foo	SOURCEPAGE:1
Infuse Metal			CATEGORY:Spell Lists	TYPE:Infuse.Metal				DESC:Foo	SOURCEPAGE:1
Infuse Shadow			CATEGORY:Spell Lists	TYPE:Infuse.Shadow			DESC:Foo	SOURCEPAGE:1
Infuse Void				CATEGORY:Spell Lists	TYPE:Infuse.Void				DESC:Foo	SOURCEPAGE:1
Infuse Crystal			CATEGORY:Spell Lists	TYPE:Infuse.Crystal			DESC:Foo	SOURCEPAGE:1
Infuse Ice				CATEGORY:Spell Lists	TYPE:Infuse.Ice				DESC:Foo	SOURCEPAGE:1
Infuse Light			CATEGORY:Spell Lists	TYPE:Infuse.Light				DESC:Foo	SOURCEPAGE:1
Infuse Sound			CATEGORY:Spell Lists	TYPE:Infuse.Sound				DESC:Foo	SOURCEPAGE:1
Infuse Force			CATEGORY:Spell Lists	TYPE:Infuse.Force				DESC:Foo	SOURCEPAGE:1
Infuse Nature			CATEGORY:Spell Lists	TYPE:Infuse.Nature			DESC:Foo	SOURCEPAGE:1
Infuse Space			CATEGORY:Spell Lists	TYPE:Infuse.Space				DESC:Foo	SOURCEPAGE:1
Infuse Time				CATEGORY:Spell Lists	TYPE:Infuse.Time				DESC:Foo	SOURCEPAGE:1
Infuse Good				CATEGORY:Spell Lists	TYPE:Infuse.Good				DESC:Foo	SOURCEPAGE:1
Infuse Law				CATEGORY:Spell Lists	TYPE:Infuse.Law				DESC:Foo	SOURCEPAGE:1
Infuse Balance			CATEGORY:Spell Lists	TYPE:Infuse.Balance			DESC:Foo	SOURCEPAGE:1
Infuse Evil				CATEGORY:Spell Lists	TYPE:Infuse.Evil				DESC:Foo	SOURCEPAGE:1
Infuse Chaos			CATEGORY:Spell Lists	TYPE:Infuse.Chaos				DESC:Foo	SOURCEPAGE:1
Move Water				CATEGORY:Spell Lists	TYPE:Move.Water				DESC:Foo	SOURCEPAGE:1
Move Fire				CATEGORY:Spell Lists	TYPE:Move.Fire				DESC:Foo	SOURCEPAGE:1
Move Earth				CATEGORY:Spell Lists	TYPE:Move.Earth				DESC:Foo	SOURCEPAGE:1
Move Air				CATEGORY:Spell Lists	TYPE:Move.Air				DESC:Foo	SOURCEPAGE:1
Move Death				CATEGORY:Spell Lists	TYPE:Move.Death				DESC:Foo	SOURCEPAGE:1
Move Life				CATEGORY:Spell Lists	TYPE:Move.Life				DESC:Foo	SOURCEPAGE:1
Move Lava				CATEGORY:Spell Lists	TYPE:Move.Lava				DESC:Foo	SOURCEPAGE:1
Move Lightning			CATEGORY:Spell Lists	TYPE:Move.Lightning			DESC:Foo	SOURCEPAGE:1
Move Mist				CATEGORY:Spell Lists	TYPE:Move.Mist				DESC:Foo	SOURCEPAGE:1
Move Ooze				CATEGORY:Spell Lists	TYPE:Move.Ooze				DESC:Foo	SOURCEPAGE:1
Move Acid				CATEGORY:Spell Lists	TYPE:Move.Acid				DESC:Foo	SOURCEPAGE:1
Move Metal				CATEGORY:Spell Lists	TYPE:Move.Metal				DESC:Foo	SOURCEPAGE:1
Move Shadow				CATEGORY:Spell Lists	TYPE:Move.Shadow				DESC:Foo	SOURCEPAGE:1
Move Void				CATEGORY:Spell Lists	TYPE:Move.Void				DESC:Foo	SOURCEPAGE:1
Move Crystal			CATEGORY:Spell Lists	TYPE:Move.Crystal				DESC:Foo	SOURCEPAGE:1
Move Ice				CATEGORY:Spell Lists	TYPE:Move.Ice				DESC:Foo	SOURCEPAGE:1
Move Light				CATEGORY:Spell Lists	TYPE:Move.Light				DESC:Foo	SOURCEPAGE:1
Move Sound				CATEGORY:Spell Lists	TYPE:Move.Sound				DESC:Foo	SOURCEPAGE:1
Move Force				CATEGORY:Spell Lists	TYPE:Move.Force				DESC:Foo	SOURCEPAGE:1
Move Nature				CATEGORY:Spell Lists	TYPE:Move.Nature				DESC:Foo	SOURCEPAGE:1
Move Space				CATEGORY:Spell Lists	TYPE:Move.Space				DESC:Foo	SOURCEPAGE:1
Move Time				CATEGORY:Spell Lists	TYPE:Move.Time				DESC:Foo	SOURCEPAGE:1
Summon Aberration			CATEGORY:Spell Lists	TYPE:Summon.Aberration			DESC:Foo	SOURCEPAGE:1
Summon Animal			CATEGORY:Spell Lists	TYPE:Summon.Animal			DESC:Foo	SOURCEPAGE:1
Summon Construct			CATEGORY:Spell Lists	TYPE:Summon.Construct			DESC:Foo	SOURCEPAGE:1
Summon Dragon			CATEGORY:Spell Lists	TYPE:Summon.Dragon			DESC:Foo	SOURCEPAGE:1
Summon Elemental			CATEGORY:Spell Lists	TYPE:Summon.Elemental			DESC:Foo	SOURCEPAGE:1
Summon Fey				CATEGORY:Spell Lists	TYPE:Summon.Fey				DESC:Foo	SOURCEPAGE:1
Summon Giant			CATEGORY:Spell Lists	TYPE:Summon.Giant				DESC:Foo	SOURCEPAGE:1
Summon Humanoid			CATEGORY:Spell Lists	TYPE:Summon.Humanoid			DESC:Foo	SOURCEPAGE:1
Summon Magical Beast		CATEGORY:Spell Lists	TYPE:Summon.Magical Beast		DESC:Foo	SOURCEPAGE:1
Summon Monstrous Humanoid	CATEGORY:Spell Lists	TYPE:Summon.Monstrous Humanoid	DESC:Foo	SOURCEPAGE:1
Summon Ooze				CATEGORY:Spell Lists	TYPE:Summon.Ooze				DESC:Foo	SOURCEPAGE:1
Summon Outsider			CATEGORY:Spell Lists	TYPE:Summon.Outsider			DESC:Foo	SOURCEPAGE:1
Summon Plant			CATEGORY:Spell Lists	TYPE:Summon.Plant				DESC:Foo	SOURCEPAGE:1
Summon Undead			CATEGORY:Spell Lists	TYPE:Summon.Undead			DESC:Foo	SOURCEPAGE:1
Summon Vermin			CATEGORY:Spell Lists	TYPE:Summon.Vermin			DESC:Foo	SOURCEPAGE:1
Transform Water			CATEGORY:Spell Lists	TYPE:Transform.Water			DESC:Foo	SOURCEPAGE:1
Transform Fire			CATEGORY:Spell Lists	TYPE:Transform.Fire			DESC:Foo	SOURCEPAGE:1
Transform Earth			CATEGORY:Spell Lists	TYPE:Transform.Earth			DESC:Foo	SOURCEPAGE:1
Transform Air			CATEGORY:Spell Lists	TYPE:Transform.Air			DESC:Foo	SOURCEPAGE:1
Transform Death			CATEGORY:Spell Lists	TYPE:Transform.Death			DESC:Foo	SOURCEPAGE:1
Transform Life			CATEGORY:Spell Lists	TYPE:Transform.Life			DESC:Foo	SOURCEPAGE:1
Transform Lava			CATEGORY:Spell Lists	TYPE:Transform.Lava			DESC:Foo	SOURCEPAGE:1
Transform Lightning		CATEGORY:Spell Lists	TYPE:Transform.Lightning		DESC:Foo	SOURCEPAGE:1
Transform Mist			CATEGORY:Spell Lists	TYPE:Transform.Mist			DESC:Foo	SOURCEPAGE:1
Transform Ooze			CATEGORY:Spell Lists	TYPE:Transform.Ooze			DESC:Foo	SOURCEPAGE:1
Transform Acid			CATEGORY:Spell Lists	TYPE:Transform.Acid			DESC:Foo	SOURCEPAGE:1
Transform Metal			CATEGORY:Spell Lists	TYPE:Transform.Metal			DESC:Foo	SOURCEPAGE:1
Transform Shadow			CATEGORY:Spell Lists	TYPE:Transform.Shadow			DESC:Foo	SOURCEPAGE:1
Transform Void			CATEGORY:Spell Lists	TYPE:Transform.Void			DESC:Foo	SOURCEPAGE:1
Transform Crystal			CATEGORY:Spell Lists	TYPE:Transform.Crystal			DESC:Foo	SOURCEPAGE:1
Transform Ice			CATEGORY:Spell Lists	TYPE:Transform.Ice			DESC:Foo	SOURCEPAGE:1
Transform Light			CATEGORY:Spell Lists	TYPE:Transform.Light			DESC:Foo	SOURCEPAGE:1
Transform Sound			CATEGORY:Spell Lists	TYPE:Transform.Sound			DESC:Foo	SOURCEPAGE:1
Transform Force			CATEGORY:Spell Lists	TYPE:Transform.Force			DESC:Foo	SOURCEPAGE:1
Transform Nature			CATEGORY:Spell Lists	TYPE:Transform.Nature			DESC:Foo	SOURCEPAGE:1
Transform Space			CATEGORY:Spell Lists	TYPE:Transform.Space			DESC:Foo	SOURCEPAGE:1
Transform Time			CATEGORY:Spell Lists	TYPE:Transform.Time			DESC:Foo	SOURCEPAGE:1
Transform Aberration		CATEGORY:Spell Lists	TYPE:Transform.Aberration		DESC:Foo	SOURCEPAGE:1
Transform Animal			CATEGORY:Spell Lists	TYPE:Transform.Animal			DESC:Foo	SOURCEPAGE:1
Transform Construct		CATEGORY:Spell Lists	TYPE:Transform.Construct		DESC:Foo	SOURCEPAGE:1
Transform Dragon			CATEGORY:Spell Lists	TYPE:Transform.Dragon			DESC:Foo	SOURCEPAGE:1
Transform Elemental		CATEGORY:Spell Lists	TYPE:Transform.Elemental		DESC:Foo	SOURCEPAGE:1
Transform Fey			CATEGORY:Spell Lists	TYPE:Transform.Fey			DESC:Foo	SOURCEPAGE:1
Transform Giant			CATEGORY:Spell Lists	TYPE:Transform.Giant			DESC:Foo	SOURCEPAGE:1
Transform Humanoid		CATEGORY:Spell Lists	TYPE:Transform.Humanoid			DESC:Foo	SOURCEPAGE:1
Transform Magical Beast		CATEGORY:Spell Lists	TYPE:Transform.Magical Beast		DESC:Foo	SOURCEPAGE:1
Transform Monstrous Humanoid	CATEGORY:Spell Lists	TYPE:Transform.Monstrous Humanoid	DESC:Foo	SOURCEPAGE:1
Transform Outsider		CATEGORY:Spell Lists	TYPE:Transform.Outsider			DESC:Foo	SOURCEPAGE:1
Transform Plant			CATEGORY:Spell Lists	TYPE:Transform.Plant			DESC:Foo	SOURCEPAGE:1
Transform Undead			CATEGORY:Spell Lists	TYPE:Transform.Undead			DESC:Foo	SOURCEPAGE:1
Transform Vermin			CATEGORY:Spell Lists	TYPE:Transform.Vermin			DESC:Foo	SOURCEPAGE:1






