# Original Entry By: Andrew Maitland
# Entry Date: Feb 2013

# COMMENT: Bite Secondary?
Adaro	SOURCEPAGE:p.7
	MOVE:Walk,50,Fly,120 ft. (good)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +32 (2d8+12 plus grab/19-20), 2 Claws +32 (2d6+12),
tail slap +30 (2d10+6)
	FACE:20
	REACH:20 ft. (25 ft. with tail)

	Special Attacks:create ghul, rend (2 Claws, 2d6+18), shake
faith, swallow whole (6d6+18 plus 4d6 energy damage,
		BONUS:COMBAT|AC|
25, 37 hp), torturous gullet, trample (2d8+18, DC 34)
Spell-Like Abilities (CL 20th
concentration +28)
Constant-true seeing
At will-align weapon, detect magic, greater teleport (self
plus 50 lbs. of objects only), magic circle against good,
telekinesis (DC 23)
3/day-blasphemy (DC 25), disintegrate (DC 24), dispel magic,
forcecage (DC 25), protection from energy
1/day-geas/quest, plane shift, summon (level 6, 1d2 sepids
100%)
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 35, Dex 26, Con 30, Int 19, Wis 24, Cha 27
Base Atk +24
CMB +40
CMD 58
Feats Awesome Blow, Cleave, Combat Reflexes, Critical
Focus, Great Cleave, Improved Bull Rush, Improved
Initiative, Improved Critical (Bite), Multiattack, Power
Attack, Staggering Critical, Stunning Critical
Skills Acrobatics +28 (+36 when jumping), Bluff +43,
Diplomacy +31, Fly +27, Intimidate +31, Knowledge
(arcana) +31, Knowledge (planes) +31, Knowledge
(religion) +19, Perception +34, Sense Motive +30,
Spellcraft +22, Use Magic Device +23
Racial Modifiers +8
Acrobatics when jumping, +8 Bluff
	AUTO:LANG|Abyssal, Celestial, Common, Draconic, Infernal;
telepathy 100 ft.
SQ armor training 4


84


AKVAN PRINCES
As akvans go through existence slaying mortals and genies,
many gravitate toward one of the races of geniekind,
targeting members of that race with particular passion.
Over ages of service, akvans who prove especially lethal in
slaughtering genies garner the attention of Ahriman, who
blesses such divs with increased power, transforming them
into akvan princes.
Each akvan prince dedicates itself to
extinguishing a particular type of genie and
gains special abilities with which to slaughter
genies of that type. An
akvan prince gains an
additional 4-8 Hit Dice,
a +4 bonus to three
ability scores, and has a
	CR:of 22- 24.
The akvan prince also gains one of the
following sets of abilities, depending
on what type of genies it hunts.
Crumbling Earth: A shaitan-hunting
akvan prince shatters the strongest
stone. It gains the stone glide ability,
tremorsense 100 feet, and a burrow
speed of 100 feet, and its natural
attacks are treated as adamantine
for the purposes of overcoming
damage reduction. It also gains
the following spell-like abilities:
3/day-quickened stone shape,
transmute mud to rock,
transmute rock to mud, wish.
Dying Ember: An efreethating
akvan prince holds
dominion over flame.
It gains resist fire 30, an
efreeti's heat special attack (1d6 when struck, 6d6 when
grappling or grappled), and the following spell-like
abilities: at will-quickened quench, scorching ray,
wall of fire
3/day-wish.
Gasping Wind: A djinn-hunting akvan prince gains
power over the wind. It gains resist electricity 30 and the
whirlwind ability, its f ly speed increases to 120 feet (perfect
maneuverability), and it gains the following spell-like
abilities: at will-invisibility
3/day-gaseous form, wish.
Thirsty Sea: A marid-slaying akvan prince controls and
poisons water. It gains a swim speed of 100 feet, a marid's
water's fury special attack (8d6 points of damage, blinds
and stuns for 1d6 rounds), and the following spell-like
abilities: constant-water breathing, water walk
at will-
quickened control water
3/day-horrid wilting, wish.
Unbalanced Soul: A jann-killing akvan prince spreads
failure and defeat. It gains resist acid, cold, and electricity
20, and the following spell-like abilities: at will-ethereal
jaunt, invisibility
3/day-insanity, mage's disjunction, wish.


Doru	KEY:Div, Doru	SORTKEY:Div	SOURCEPAGE:p.85

	CR:2
	XP:600
	KIT:1|NE
	SIZE:T
	RACETYPE:Outsider
 (div, evil, extraplanar)
	VISION:Darkvision (60')|detect good, detect magic, see
in darkness
Perception +7
DEFENSE
		BONUS:COMBAT|AC|
18, touch 15, flat-footed 15 (+3 Dex, +3|TYPE=NaturalArmor,
+2 size)
	MONSTERCLASS::
16 (3d10)
Fort +3, Ref +4, Will +4
	DR:10/cold iron or good;
Immune fire, poison;
Resist acid 10,
electricity 10
	SR:13
OFFENSE
	MOVE:Walk,20 ft., fly
40 ft. (perfect)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +9
(1d4-1 plus
poison)
	FACE:2-1/2
Reach 0 ft.
Spell-Like Abilities
(CL 6th
concentration +8)
Constant-detect good, detect magic
At will-invisibility (self only)
3/day-charm person (DC 13), minor image (DC 13)
1/day-suggestion (DC 14)
1/week-commune (CL 12th, 6 questions)
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 8, Dex 17, Con 10, Int 10, Wis 12, Cha 14
Base Atk +3
CMB +4
CMD 13 (can't be tripped)
Feats Weapon Finesse, Weapon Focus (Bite)
Skills Bluff +8, Fly +11, Knowledge (arcana) +6, Knowledge
(planes) +6, Perception +7, Spellcraft +6, Stealth +17
	AUTO:LANG|Abyssal, Celestial, Infernal
telepathy 100 ft.


86

Ghawwas	KEY:Div (Ghawwas)	SORTKEY:Div	SOURCEPAGE:p.86
	CR:10
	XP:9,600
	KIT:1|NE
	SIZE:L
	RACETYPE:Outsider
 (aquatic, div, evil, extraplanar)
	VISION:Darkvision (60')|detect good, detect magic, see
in darkness
Perception +19
DEFENSE
		BONUS:COMBAT|AC|
26, touch 11, flat-footed 24 (+2 Dex, +15|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
161 (14d10+84)
Fort +10, Ref +13, Will +11
	DR:10/cold iron and good
Immune fire, poison
Resist acid 10, electricity 10
	SR:21
	MOVE:Walk,30,Swim,80
	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +22 (1d8+7/19-20), 2 Claws +20 (1d6+7), Sting +20
(1d6+7 plus poison) or
	FACE:10
	REACH:10
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 24, Dex 15, Con 23, Int 12, Wis 15, Cha 14
	AUTO:LANG|Abyssal|Aquan|Celestial|Infernal


#Div, Pairaka
Pairaka	KEY:Div (Pairaka)	SORTKEY:Div		SOURCEPAGE:p.87
	CR:7
	XP:3,200
	KIT:1|NE
	SIZE:M
	RACETYPE:Outsider
 (div, evil, extraplanar, shapechanger)
	VISION:Darkvision (60')
	8|TYPE=NaturalArmor
	MONSTERCLASS::
76 (9d10+27)
	DR:10/cold iron or good
	SR:22
	MOVE:Walk,30,Fly,50
(good)
2 Claws +14 (1d6+3 plus disease)
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 17, Dex 20, Con 16, Int 14, Wis 18, Cha 24
	AUTO:LANG|Abyssal|Celestial|Infernal

88
Sepid	KEY:Div (Sepid)	SORTKEY:Div	SOURCEPAGE:p.88
	CR:14
	XP:38,400
	KIT:1|NE
	SIZE:L
	RACETYPE:Outsider
 (div, evil, extraplanar)
	VISION:Darkvision (60')|see in darkness
Perception +22
	18|TYPE=NaturalArmor
	MONSTERCLASS::
202 (15d10+120)
	DR:10/cold iron and good
	SR:25
	MOVE:Walk,40
2 Claws +21 (1d6+7)
	FACE:10
	REACH:10
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ Sepid
Str 25, Dex 20, Con 27, Int 19,
Wis 19, Cha 22
Base Atk +15
CMB +23;
CMD 38
Feats Cleave, Combat Reflexes,
Deflect ArrowsB, Improved
Critical (falchion),
Improved Initiative, Iron
Will, Lightning Reflexes,
Power Attack, Weapon
Focus (falchion)
Skills Bluff +24, Fly +15, Intimidate +24, Knowledge (arcana) +22,
Knowledge (planes) +22, Knowledge (religion) +15, Perception
+22, Sense Motive +20, Spellcraft +22, Stealth +19, Use Magic
Device +24
	AUTO:LANG|Abyssal, Celestial, Common, Draconic, Infernal;
telepathy 100 ft.
SQ deflect rays
ECOLOGY
Environment any (Abaddon)
Organization solitary
Treasure standard (+1 falchion, other treasure)
SPECIAL ABILITIES
Deflect Rays (Su) Once per round as an immediate action, a
sepid can use its Deflect Arrows feat to deflect a ray or a
spell that uses a ranged touch attack.
Rain of Debris (Su) Three times per day as a standard action,
a sepid can call forth a hail of stones, wood,
metal, and similar debris. The debris
rains down and pelts all creatures
in a 10-foot-high, 40-foot-radius
cylinder centered on the
sepid, dealing 15d6 points of
bludgeoning damage (Reflex
DC 25 for half ). This attack
does not harm the sepid, and
counts as an evil attack for the
purpose of damage reduction. The
save DC is Constitution-based.
Warlords among the divs,
sepids spread fear, slaughter,
and despair wherever they pass.
They foster battles,
incite rebellions, and
seek heroes to slay,
destroying all that which
gives common people
hope. With their falchions
in hand, sepids often stand
at the fore of the foul legions
they raise.
Sepids delight in twiSting the
truth, but while all divs are
liars, sepids make themselves
predictable by always
doing the opposite
of what they claim,
and wise opponents
turn this knowledge to their
own advantage.
Sepids stand 13 feet
tall and weigh upward
of 1,500 pounds.
89
Illustration by Jason Engle
Div, Pairaka-Div, Sepid
Div, Shira
Moving with deadly grace, this brutal, thickly furred humanoid
figure's head is that of a lioness with dead black eyes.
SHIRA	SOURCEPAGE:p.89
	CR:12
	XP:19,200
	KIT:1|NE
	SIZE:L
	RACETYPE:Outsider
 (div, evil, extraplanar)
Init +11
	VISION:Darkvision (60')|see in darkness, true seeing;
Perception +21
DEFENSE
		BONUS:COMBAT|AC|
27, touch 16, flat-footed 20 (+7 Dex, +11|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
150 (12d10+84)
Fort +11, Ref +15, Will +14
	DR:10/cold iron and good
Immune fire, poison
Resist acid 10,
electricity 10
	SR:23
OFFENSE
	MOVE:Walk,50
	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +21 (1d8+9/19-20), 2 Claws +21 (1d8+9 plus grab)
	FACE:10
	REACH:10

	Special Attacks:consume essence, dusty pelt, rake (2 Claws +21,
1d8+9)
Spell-Like Abilities (CL 13th
concentration +18)
Constant-true seeing
At will-greater teleport (self plus 50 lbs. of objects only)
3/day-magic circle against good, waves of fatigue
1/day-summon (level 5, 1d2 pairakas or 1 shira
35%)
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 28, Dex 25, Con 25, Int 13,
Wis 22, Cha 20
Base Atk +12
CMB +22
(+26 grapple)
CMD 39
Feats Improved Critical
(Bite), Improved Initiative,
Power Attack, Run,
Weapon Focus (claw),
Weapon Focus (Bite)
Skills Acrobatics +22 (+30
when jumping),
Bluff +20, Climb
+24, Intimidate
+20, Perception
+21, Stealth +18,
Survival +21
	AUTO:LANG|Abyssal, Celestial, Infernal;
telepathy 100 ft.
ECOLOGY
Environment any (Abaddon)
Organization solitary
Treasure standard
SPECIAL ABILITIES
Consume Essence (Su) A shira's
deadliest attacks drain away a portion of its victim's
essence. Whenever a shira hits with a coup de grace attack
using its Bite, or confirms a critical hit with its Claws or
Bite, the target must succeed at a DC 23 Fortitude save
or take 1d4 points of Constitution drain. The save is
Constitution-based.
Dusty Pelt (Ex) A shira collects and produces copious amounts
of dust and ash within the coarse hairs of its furry hide. As
a move action, it can shake itself, creating a cloud of dust
that fills its space, providing it concealment. Any attack that
deals at least 10 points of bludgeoning, piercing, or slashing
damage to the shira (before DR) automatically activates
this ability. The dust cloud lasts for 1 round. A light wind
disperses this cloud immediately.
Bestial stalkers, shiras live to hunt and feed. Resembling
anthropomorphic lionesses, these divs use their powerful
builds, keen senses, and deadly instincts to track the
proudest mortals and slay the most formidable foes. They
embody the deadly nature of the wilds and the dispassion
with which beast and land might turn against mortals,
delighting in proving to civilized beings how small and
helpless they are in the face of a savage world.
Shiras prefer hunting alone, keeping company with
even others of their own kind only long enough to form
temporary hunting bands. With a hunger for intelligent
prey, they savor the taste of mortal souls, savaging
not just victims' bodies but also their vital
essences. Despite being the most feral of
all divs, shiras sometimes serve as
scouts and assassins for div hordes.
Such arrangements usually prove
to be temporary, however, laSting
only until the shiras' savage
instincts or lust for the hunt
again takes hold.
Shiras never go after
an easy kill, and instead
target the most obviously
powerful of the possible
targets. When acting on
this compulsion, a shira
weighs its chances for
survival and the glory of
its intended kill, planning
its tactics carefully and not
necessarily charging savagely
forth. Though savage, a shira is also
a cunning hunter and might wait
weeks for the perfect opportunity
to bring down its chosen prey.
Most shiras stand 10 feet tall and weigh approximately
1,200 pounds.
90
Illustration by Tyler Walpole
Dragon, Faerie
A pair of brightly colored butterf ly wings sprouts from the back of
this miniature dragon.
FAERIE DRAGON	SOURCEPAGE:p.90
	CR:2
	XP:600
	KIT:1|CG	SIZE:T
	dragon
	VISION:Darkvision (60')|low-light
vision
Perception +8
DEFENSE
		BONUS:COMBAT|AC|
18, touch 16, flat-footed 14 (+3 Dex, +1 dodge,
+2|TYPE=NaturalArmor, +2 size)
	MONSTERCLASS::
22 (3d12+3)
Fort +4, Ref +6, Will +5
Immune paralysis, sleep
	SR:13
OFFENSE
	MOVE:Walk,10,Fly,60 ft. (perfect), swim 30
	
	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +4 (1d3-1)
	FACE:2-1/2
	REACH:0 ft.

	Special Attacks:breath weapon (5-ft. cone, euphoria, Fort DC 12
negates, usable every 1d4 rounds)
Spell-Like Abilities (CL 3rd
concentration +6)
3/day-greater invisibility (self only)
Spells Known (CL 3rd
concentration +6)
1st (6/day)-grease (DC 14), silent image (DC 14), sleep (DC 14)
0 (at will)-dancing lights, flare (DC 13), ghost sound (DC 13),
mage hand, open/close
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 9, Dex 17, Con 13, Int 16, Wis 14, Cha 16
Base Atk +3
CMB +4
CMD 14 (18 vs. trip)
Feats Acrobatic, Dodge
Skills Acrobatics +8 (+0 when jumping), Bluff +9, Diplomacy +9,
Fly +23, Perception +8, Sense Motive +8, Stealth +17, Swim +13,
Use Magic Device +9
	AUTO:LANG|Common, Draconic, Elven, Sylvan
telepathy 100 ft.
ECOLOGY
Environment temperate or warm forests
Organization solitary or clan (2-8)
Treasure standard
SPECIAL ABILITIES

91
Illustration by Anna Mohrbacher



103
Dragonne	SOURCEPAGE:p.103
This creature has the features of a lion but the wings and scales of
a brass dragon, and a wild mane matching its scales.
Dragonne
	CR:7
	XP:3,200
	KIT:1|TN
	SIZE:L
	RACETYPE:Magical Beast
	VISION:Darkvision (60')|Low-Light Vision
scent;
		BONUS:COMBAT|AC|
20, touch 12, flat-footed 17 (+3 Dex, +8|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
76 (9d10+27)
Fort +9, Ref +9, Will +4
OFFENSE
	MOVE:Walk,40,Fly,30 ft. (poor)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +13 (1d8+5), 2 Claws +13 (1d6+5)
	FACE:10
	REACH:10
	Special Attacks:roar, pounce
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 21, Dex 17, Con 17, Int 6, Wis 12, Cha 12
Base Atk +9
CMB +15
CMD 28 (32 vs. trip)
Feats Blind-Fight, Combat Reflexes, Flyby Attack, Improved
Initiative, Power Attack
Skills Fly +5, Perception +12
Racial Modifiers +4 Perception
	AUTO:LANG|Draconic
ECOLOGY
Environment temperate deserts
Organization solitary, pair, or pride (5-10)
Treasure standard


Drake, Desert	KEY:Drake, Desert	SORTKEY:Drake_Desert	SOURCEPAGE:p.104
	CR:8
	XP:4,800
	KIT:1|NE
	SIZE:L
	dragon (earth)
	VISION:Darkvision (60')|Low-Light Vision
scent,
tremorsense 30 ft.
Perception +12
DEFENSE
		BONUS:COMBAT|AC|
21, touch 11, flat-footed 19 (+2 Dex, +10|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
103 (9d12+45)
Fort +11, Ref +8, Will +8
Immune paralysis, sleep
Resist electricity 20
OFFENSE
	MOVE:Walk,30,Burrow,20,Fly,60 ft. (average)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +15 (2d6+9/19-20 plus 1d10 electricity), tail slap +9
(1d8+3 plus push)
	FACE:10
	REACH:10
	Special Attacks:dazzling emergence, push (tail slap, 10 ft.),
sandstorm breath, savage Bite
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 22, Dex 15, Con 21, Int 8, Wis 11, Cha 12
Base Atk +9
CMB +16
CMD 28
Feats Dazzling Display, Improved Initiative, Iron Will, Power
Attack, Weapon Focus (Bite)
Skills Fly +12, Intimidate +13, Perception +12, Stealth +10,
Survival +12
	AUTO:LANG|Draconic
SQ speed surge



Drake, Rift	KEY:Drake (Rift)	SORTKEY:Drake_Rift	SOURCEPAGE:p.105

	CR:9
	XP:6,400
CE Large
dragon (earth)
Init +7
Senses
darkvision 60 ft.,
Low-Light Vision
scent;
Perception +14
DEFENSE
		BONUS:COMBAT|AC|
23, touch 12, flat-footed 20
(+3 Dex, +11|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
126 (11d12+55)
Fort +12, Ref +10, Will +8
Immune paralysis, sleep
Resist acid 30
OFFENSE
	MOVE:Walk,30,Climb,20,Fly,60(average)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +18 (2d8+10/19-20 plus
bleed), tail slap +12 (1d10+3
plus trip)
	FACE:10
	REACH:10
	Special Attacks:bleed (1d6),
clinging corrosion, pounce,
savage Bite
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 25, Dex 17, Con 20, Int 8,
Wis 12, Cha 11
Base Atk +11
CMB +19
CMD 32
Feats Bleeding Critical, Critical Focus, Flyby Attack, Improved
Initiative, Power Attack, Weapon Focus (Bite)
Skills Climb +15, Fly +14, Intimidate +12, Perception +14, Sense
Motive +11, Stealth +12, Survival +13
	AUTO:LANG|Draconic
SQ speed surge



Drake, River	KEY:Drake (River)	SORTKEY:Drake_River	SOURCEPAGE:p.106
	CR:3
	XP:800
	KIT:1|NE
	SIZE:M
	dragon (aquatic, water)
	VISION:Darkvision (60')|Low-Light Vision
scent;
Perception +7
DEFENSE
		BONUS:COMBAT|AC|
16, touch 13, flat-footed 13 (+3 Dex, +3|TYPE=NaturalArmor
	MONSTERCLASS::
34 (4d12+8)
Fort +6, Ref +7, Will +4
Immune paralysis, sleep
Resist acid 20
OFFENSE
	MOVE:Walk,20,Fly,60 ft. (average), swim 30
	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +7 (2d4+3), tail slap +2 (1d4+1)

	Special Attacks:caustic mucus, pounce
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 17, Dex 16, Con 15, Int 8, Wis 10, Cha 9
Base Atk +4
CMB +7
CMD 20
Feats Improved Initiative, Power Attack
Skills Fly +10, Intimidate +6, Perception +7,
Stealth +10, Survival +7, Swim +11
	AUTO:LANG|Draconic
SQ amphibious, speed surge



Dybbuk	SOURCEPAGE:p.107
	CR:15
	XP:51,200
	KIT:1|NE
	SIZE:M
	RACETYPE:Undead
	RACESUBTYPE:Incorporeal
	VISION:Darkvision (60')
		BONUS:COMBAT|AC|
28, touch 28, flat-footed 17 (+7 deflection, +11 Dex)
	MONSTERCLASS::
207 (18d8+126)
Fort +13, Ref +17, Will +17
Defensive Abilities incorporeal, channel resistance +4
	DR:10/
good
Immune undead traits
	SR:26
OFFENSE
	MOVE:Walk,fly 60 ft. (perfect)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
pain touch +19 touch (7d6)

	Special Attacks:malevolence
Spell-Like Abilities (CL 18th;
concentration +25)
At will-detect thoughts
(DC 19), telekinesis
(DC 22)
3/day-dominate monster
(DC 22), feeblemind
(DC 22), inflict serious
wounds (DC 20)
1/day-greater heroism,
modify memory (DC 21),
tongues
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str -, Dex 32,
Con -, Int 15,
Wis 18, Cha 25
Base Atk +13
CMB +24
CMD 41
Feats Alertness, Blind-Fight,
Combat Reflexes, Flyby Attack,
Improved Initiative, Iron Will, Lunge,
Step Up, Weapon Finesse
Skills Bluff +25, Diplomacy +25, Fly +19,
Intimidate +28, Perception +29, Sense
Motive +29, Stealth +32
	AUTO:LANG|Abyssal, Celestial, Common


108


Ecorche	SOURCEPAGE:p.108
	CR:16
	XP:76,800
	KIT:1|CE
	SIZE:L
	RACETYPE:Undead
	VISION:Darkvision (60')
Perception +25
Aura frightful presence (60 ft., DC 26)
DEFENSE
		BONUS:COMBAT|AC|
30, touch 14, flat-footed 25 (+5 Dex, +16|TYPE=NaturalArmor, -1 size)
	MONSTERCLASS::
209 (22d8+110)

	BONUS:VAR|FastHealingRate|5
Fort +12, Ref +12, Will +15
Defensive Abilities channel resistance +2
	DR:15/good and
silver
Immune acid, undead traits
OFFENSE
	MOVE:Walk,30
	NATURALATTACKS:,Natural.Melee.Weapon,*,
2 Claws +27 (3d6+11/19-20)
	FACE:10
	REACH:10
	Special Attacks:bleed (1 Con drain), rend (2 Claws,
3d6+11 plus bleed and seize skin)
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 32, Dex 20, Con -, Int 9, Wis 11,
Cha 21
Base Atk +16
CMB +28
CMD 43
Feats Awesome Blow,
Blinding Critical,
Combat
Reflexes,
Critical Focus,
Improved Bull
Rush, Improved
Critical (claw),
Improved Initiative,
Iron Will, Power Attack,
Stand Still, Weapon
Focus (claw)
Skills Disguise +30, Perception +25, Stealth +26
	AUTO:LANG|Common
SQ wear skin



Eidolon, Unfettered	KEY:Eidolon (Unfettered)	SORTKEY:Eidolon_Unfettered	SOURCEPAGE:p.109

	CR:8
	XP:4,800
	KIT:1|CN
	SIZE:M
	RACETYPE:Outsider
	RACESUBTYPE:Extraplanar
	VISION:Darkvision (60')
Perception +13
DEFENSE
		BONUS:COMBAT|AC|
26, touch 14, flat-footed 22 (+4 Dex, +12|TYPE=NaturalArmor
	MONSTERCLASS::
85 (10d10+30)
Fort +7, Ref +11, Will +9
Defensive Abilities evasion
OFFENSE
	MOVE:Walk,20,Climb,20,Fly,40 ft. (good)

	NATURALATTACKS:,Natural.Melee.Weapon,*,
Bite +14 (1d6+3 plus 1d6 electricity), Gore +14 (1d6+3
plus 1d6 electricity), Slam +14 (1d8+3 plus 1d6 electricity), tail
slap +12 (1d6+1 plus 1d6 electricity)
	FACE:5
	REACH:5 (10 ft. with Bite)
STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ 
Str 16, Dex 19, Con 14, Int 7, Wis 10, Cha 11
Base Atk +10
CMB +13
CMD 27 (can't be tripped)
Feats Combat Reflexes, Great Fortitude, Iron Will,
MultiattackB, Toughness, Weapon Finesse
Skills Bluff +13, Climb +11, Fly +16, Knowledge (planes) +6,
Perception +13, Sense Motive +8, Stealth +12
	AUTO:LANG|Common
SQ evolution points (Bite, climb, energy attacks, flight [2], Gore,
improved natural armor [2], reach [Bite], Slam, tail, tail slap)
ECOLOGY
Environment any
Organization solitary
Treasure standard
An eidolon is usually tied to a summoner who forges an
unbreakable link with a being not of his world, calling
upon it and sending it back to its otherworldly home as he
needs. When a summoner dies, this link is destroyed and the
eidolon is banished back from whence it came. Occasionally,
however, this link between eidolon and summoner is
unnaturally severed, usually as a result of powerful magic or
some bizarre death, freeing the eidolon upon the world. Few
can predict what specific events might cause an eidolon to
become unfettered, but those that do become stranded on a
plane alien to them, released to act as they please. An eidolon
that loses its link to its summoner loses its link to its home
realm, and many unfettered eidolons go mad, the glowing
runes that once represented their bonds burning painful
scars onto their bodies. Unfettered eidolons are not quite as
powerful as normal eidolons, but without their evolutions
tied to their summoners' whims, these bizarre and varied
creatures continue to evolve and advance on their own.
CREATING AN UNFETTERED EIDOLON
Unfettered eidolons can take on many shapes and sizes.
The stats presented here are for a
	SIZE:M
	unfettered
eidolon with the serpentine base form and 15 evolution
points, but an eidolon can take almost any form. An
unfettered eidolon has one of four base forms: aquatic,
biped, quadruped, or serpentine. Each base form
determines an eidolon's speed, good and bad saves, and
ability scores, and allots 5 evolution points to starting
evolutions (the bonuses from these starting evolutions
are already factored into the starting STATISTICS
	BONUS:STAT|STR|0
	BONUS:STAT|DEX|0
	BONUS:STAT|CON|0
	BONUS:STAT|INT|0
	BONUS:STAT|WIS|0
	BONUS:STAT|CHA|0
	ABILITY:Internal|AUTOMATIC|Default Traits ~ ). Each base
form starts at
	SIZE:M
	size. An unfettered eidolon can
increase to
	SIZE:L
	size or larger by spending additional
evolution points (see below).
Aquatic Base Form: 	MOVE:Walk,20,Swim,40 ft.
Saves Fort
(good), Ref (good), Will (bad)
Ability Scores Str 16, Dex
12, Con 13, Int 7, Wis 10, Cha 11
Starting Evolutions Bite,
gills, improved natural armor, swim (2).
Biped Base Form: 	MOVE:Walk,30 ft.
Saves Fort (good), Ref
(bad), Will (good)
Ability Scores Str 16, Dex 12, Con 13, Int
7, Wis 10, Cha 11
Starting Evolutions arms, Claws, legs.
Quadruped Base Form: 	MOVE:Walk,40 ft.
Saves Fort (good),
Ref (good), Will (bad)
Ability Scores Str 14, Dex 14, Con
13, Int 7, Wis 10, Cha 11
Starting Evolutions Bite, legs (2).
Serpentine Base Form: 	MOVE:Walk,20,Climb,20 ft.
Saves
Fort (bad), Ref (good), Will (good)
Ability Scores Str 12,
Dex 16, Con 13, Int 7, Wis 10, Cha 11
Starting Evolutions
