#  Sun Aug  5 21:24:58 2018 -- reformated by PCGen PrettyLST v6.06.00


# Class Name	Type		Ability					Define			Bonus to HP					Modify VAR					Description
CLASS:Alchemist	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Alchemist	DEFINE:AlchemistCL|0	BONUS:HP|CURRENTMAX|8*AlchemistCL	BONUS:VAR|AlchemistCL|classlevel()	DESC:The alchemist throws alchemical bombs and drinks concoctions of his own making during combat. Intelligence, 2nd Constitution, Dexterity
# Class Name	Multiple Requirements
CLASS:Alchemist	PREMULT:1,[PRECLASS:1,Alchemist=1],[!PRECLASS:1,TYPE=Class]
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Known Progression
1	KNOWN:4,1
2	KNOWN:5,2
3	KNOWN:5,2,2
4	KNOWN:5,2,3
5	KNOWN:5,2,3,2
6	KNOWN:5,2,3,3
7	KNOWN:5,2,3,3,2
8	KNOWN:5,2,3,3,3
9	KNOWN:5,2,3,3,3,2
10	KNOWN:5,2,3,3,3,3
11	KNOWN:5,2,3,3,3,3,2
12	KNOWN:5,2,3,3,3,3,3
13	KNOWN:5,2,3,3,3,3,3,2
14	KNOWN:5,2,3,3,3,3,3,3
15	KNOWN:5,2,3,3,3,3,3,3,2
16	KNOWN:5,2,3,3,3,3,3,3,3
17	KNOWN:5,2,3,3,3,3,3,3,3,2
18	KNOWN:5,2,3,3,3,3,3,3,3,3
19	KNOWN:5,2,3,3,3,3,3,3,3,3
20	KNOWN:5,2,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Bloodline			
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Sorcerer Spellcasting	
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Heightening Spells		
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Cantrips			
1	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Spell Repertoire		
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Skill Feats			
2	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Sorcerer Feats		
3	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ General Feats		
3	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Skill Increases		
3	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Spontaneous Heightening	
12	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Expert Spellcaster		
16	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Master Spellcaster		
19	ABILITY:Sorcerer Class Feature|AUTOMATIC|Sorcerer Class Feature ~ Legendary Spellcaster	


# Class Name	Type		Ability					Define		Bonus to HP					Modify VAR					Description
CLASS:Wizard	TYPE:Class	ABILITY:CLASS|AUTOMATIC|Wizard	DEFINE:WizardCL|0	BONUS:HP|CURRENTMAX|6*WizardCL	ALLOWBASECLASS:NO		BONUS:VAR|WizardCL|classlevel()	DESC:The wizard is an eminent scholar whose reservoirs of arcane knowledge power his wondrous spells and abilities. Intelligence, 2nd Dexterity, Constitution
# Class Name	Multiple Requirements
CLASS:Wizard	PREMULT:1,[PRECLASS:1,Wizard=1],[!PRECLASS:1,TYPE=Class]
CLASS:Wizard		SPELLLIST:1|Arcane
CLASS:Wizard		FACT:SpellType|Arcane
CLASS:Wizard		SPELLSTAT:WIS	MEMORIZE:YES
# Specialization Choice
SUBCLASS:Abjurer		COST:0	CHOICE:SCHOOL|Abjuration
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Abjuration			
SUBCLASS:Conjurer		COST:0	CHOICE:SCHOOL|Conjuration
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Conjuration	
SUBCLASS:Diviner		COST:0	CHOICE:SCHOOL|Divination
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Divination	
SUBCLASS:Enchanter	COST:0	CHOICE:SCHOOL|Enchantment
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Enchantment	
SUBCLASS:Evoker		COST:0	CHOICE:SCHOOL|Evocation
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Evocation		
SUBCLASS:Illusionist	COST:0	CHOICE:SCHOOL|Illusion
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Illusion		
SUBCLASS:Necromancer	COST:0	CHOICE:SCHOOL|Necromancy
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Necromancy	
SUBCLASS:Transmuter	COST:0	CHOICE:SCHOOL|Transmutation
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Transmutation	
SUBCLASS:Universalist	COST:0
SUBCLASSLEVEL:1	ABILITY:Wizard Class Feature|AUTOMATIC|Arcane School ~ Universalist
1:REPEATLEVEL:1	DONOTADD:SKILLPOINTS
###Block: Cast Progression
1	CAST:99,2
2	CAST:99,3
3	CAST:99,3,2
4	CAST:99,3,3
5	CAST:99,3,3,2
6	CAST:99,3,3,3
7	CAST:99,3,3,3,2
8	CAST:99,3,3,3,3
9	CAST:99,3,3,3,3,2
10	CAST:99,3,3,3,3,3
11	CAST:99,3,3,3,3,3,2
12	CAST:99,3,3,3,3,3,3
13	CAST:99,3,3,3,3,3,3,2
14	CAST:99,3,3,3,3,3,3,3
15	CAST:99,3,3,3,3,3,3,3,2
16	CAST:99,3,3,3,3,3,3,3,3
17	CAST:99,3,3,3,3,3,3,3,3,2
18	CAST:99,3,3,3,3,3,3,3,3,3
19	CAST:99,3,3,3,3,3,3,3,3,3
20	CAST:99,3,3,3,3,3,3,3,3,3
###Block: Class Progression
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane Spellcasting		
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Heightening Spells		
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Cantrips				
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Spellbook			
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane School			
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Arcane Focus			
1	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ DRAIN ARCANE FOCUS		
2	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Skill Feats			
2	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Wizard Feats			
2	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ General Feats			
3	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Skill Increases		
12	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Expert Spellcaster		
16	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Master Spellcaster		
19	ABILITY:Wizard Class Feature|AUTOMATIC|Wizard Class Feature ~ Legendary Spellcaster	
	
