# CVS $Revision: 21789 $ $Author: amaitland $ -- Thu Feb 22 13:04:59 2007 -- reformated by prettylst.pl v1.36 (build 2045)
#SOURCELONG:Pathfinder Society Chronicle Sheets	SOURCESHORT:PFSCS	SOURCEWEB:http://www.mywebsite.com	SOURCEDATE:2008-01

ABILITYCATEGORY:Ocher Rhomboid Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT		TYPE:Combat								PLURAL:Ocher Rhomboid Feats		DISPLAYLOCATION:Feats

# This ability pool hold the list of chronicle sheets
ABILITYCATEGORY:PFS Chronicle		VISIBLE:NO		EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:PFS Chronicle
ABILITYCATEGORY:Chronicle_S03-18	DISPLAYNAME:PFS Scenario #3-18: The God's Market Gamble									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-18	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-19	DISPLAYNAME:PFS Scenario #3-19: The Icebound Outpost										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-19	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-20	DISPLAYNAME:PFS Scenario #3-20: The Rats of Round Mountain, Part I: The Sundered Path				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-20	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-21	DISPLAYNAME:PFS Scenario #3-21: The Temple of Empyreal Enlightenment							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-21	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-22	DISPLAYNAME:PFS Scenario #3-22: The Rats of Round Mountain, Part II: Pagoda of the Rat				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-22	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-23	DISPLAYNAME:PFS Scenario #3-23: The Goblinblood Dead										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-23	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-24	DISPLAYNAME:PFS Scenario #3-24: The Golden Serpent										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-24	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-25	DISPLAYNAME:PFS Scenario #3-25: Storming the Diamond Gate									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-25	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-26	DISPLAYNAME:PFS Scenario #3-26: Portal of the Sacred Rune									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-26	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-EX	DISPLAYNAME:PFS Scenario #3-EX: The Cyphermage Dilemma									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-EX	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S03-SP	DISPLAYNAME:PFS Scenario #3-SP: Blood Under Absalom										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S03-SP	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_S04-01	DISPLAYNAME:PFS Scenario #4-01: Rise of the Goblin Guild									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-02	DISPLAYNAME:PFS Scenario #4-02: In Wrath's Shadow										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S04-03	DISPLAYNAME:PFS Scenario #4-03: The Golemworks Incident									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-04	DISPLAYNAME:PFS Scenario #4-04: King of the Storval Stairs									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-05	DISPLAYNAME:PFS Scenario #4-05: The Sanos Abduction										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-06	DISPLAYNAME:PFS Scenario #4-06: The Green Market										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-07	DISPLAYNAME:PFS Scenario #4-07: Severing Ties											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-08	DISPLAYNAME:PFS Scenario #4-08: The Cultist's Kiss										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-09	DISPLAYNAME:PFS Scenario #4-09: The Blakros Matrimony										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-10	DISPLAYNAME:PFS Scenario #4-10: Feast of Sigils											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-11	DISPLAYNAME:PFS Scenario #4-11: The Disappeared											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-12	DISPLAYNAME:PFS Scenario #4-12: The Refuge of Time										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-13	DISPLAYNAME:PFS Scenario #4-13: Fortress of the Nail										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-14	DISPLAYNAME:PFS Scenario #4-14: My Enemy's Enemy										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-15	DISPLAYNAME:PFS Scenario #4-15: The Cyphermage Dilemma									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-16	DISPLAYNAME:PFS Scenario #4-16: The Fabric of Reality										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-17	DISPLAYNAME:PFS Scenario #4-17: Tower of the Ironwood Watch									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-18	DISPLAYNAME:PFS Scenario #4-18: The Veteran's Vault										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-18	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-19	DISPLAYNAME:PFS Scenario #4-19: The Night March of Kalkamedes								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-19	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-20	DISPLAYNAME:PFS Scenario #4-20: Words of the Ancients										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-20	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-21	DISPLAYNAME:PFS Scenario #4-21: Way of the Kirin										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-21	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-22	DISPLAYNAME:PFS Scenario #4-22: Halls of Dwarven Lore										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-22	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-23	DISPLAYNAME:PFS Scenario #4-23: Rivalry's End											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-23	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-24	DISPLAYNAME:PFS Scenario #4-24: The Price of Friendship									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-24	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-25	DISPLAYNAME:PFS Scenario #4-25: Glories of the Past, Part 3: The Secrets Stones Keep				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-25	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-26	DISPLAYNAME:PFS Scenario #4-26: The Waking Rune											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-26	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-EX	DISPLAYNAME:PFS Scenario #4-EX Day of the Demon											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-EX	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S04-SP	DISPLAYNAME:PFS Scenario #4-SP Race for the Runecarved Key									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-SP	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

#ABILITYCATEGORY:Chronicle_S04-S2	DISPLAYNAME:PFS Scenario #4-S2 Ruins of Bonekeep - Level 1: The Silent Grave						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S04-S2	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_S05-01	DISPLAYNAME:PFS Scenario #5-01: The Glass River Rescue									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-02	DISPLAYNAME:PFS Scenario #5-02: The Wardstone Patrol										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY
ABILITYCATEGORY:Chronicle_S05-03	DISPLAYNAME:PFS Scenario #5-03: The Hellknight's Feast									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-04	DISPLAYNAME:PFS Scenario #5-04: The Stolen Heir											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-05	DISPLAYNAME:PFS Scenario #5-05: The Elven Entanglement									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-06	DISPLAYNAME:PFS Scenario #5-06: You Have What You Hold									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-07	DISPLAYNAME:PFS Scenario #5-07: Port Godless											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-08	DISPLAYNAME:PFS Scenario #5-08: The Confirmation										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-09	DISPLAYNAME:PFS Scenario #5-09: The Traitor's Lodge										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-09	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-10	DISPLAYNAME:PFS Scenario #5-10: Where Mammoths Dare Not Tread								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-10	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-11	DISPLAYNAME:PFS Scenario #5-11: Library of the Lion										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-11	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-12	DISPLAYNAME:PFS Scenario #5-12: Destiny of the Sands, Part 1: A Bitter Bargain					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-12	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-13	DISPLAYNAME:PFS Scenario #5-13: Weapon in the Rift										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-13	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-14	DISPLAYNAME:PFS Scenario #5-14: Day of the Demon										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-14	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-15	DISPLAYNAME:PFS Scenario #5-15: Destiny of the Sands, Part 2: Race to Seeker's Folly				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-15	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-16	DISPLAYNAME:PFS Scenario #5-16: Destiny of the Sands, Part 3: Sanctum of the Sages					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-16	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-17	DISPLAYNAME:PFS Scenario #5-17: Fate of the Fiend										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-17	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-18	DISPLAYNAME:PFS Scenario #5-18: The Stranger Within										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-18	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-19	DISPLAYNAME:PFS Scenario #5-19: The Horn of Aroden										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-19	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-20	DISPLAYNAME:PFS Scenario #5-20: The Sealed Gate											CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-20	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-21	DISPLAYNAME:PFS Scenario #5-21: The Merchant's Wake										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-21	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-22	DISPLAYNAME:PFS Scenario #5-22: Scars of the Third Crusade									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-22	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-23	DISPLAYNAME:PFS Scenario #5-23: Cairn of Shadows										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-23	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-24	DISPLAYNAME:PFS Scenario #5-24: Assault on the Wound										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-24	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-25	DISPLAYNAME:PFS Scenario #5-25: Vengeance at Sundered Crag									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-25	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-99	DISPLAYNAME:PFS Scenario #5-99: The Paths We Choose										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-99	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_S05-SP	DISPLAYNAME:PFS Scenario #5-SP: Siege of the Diamond City									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-SP	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

#ABILITYCATEGORY:Chronicle_S05-S2	DISPLAYNAME:PFS Scenario #5-S2 Ruins of Bonekeep, Level 2: Maze to the Mind Slave					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_S05-S2	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	

ABILITYCATEGORY:Chronicle_PZO9500-4		DISPLAYNAME:Pathfinder Module: Master of the Fallen Fortress							CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9500-4	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9500-5		DISPLAYNAME:Pathfinder Module: We be Goblins										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9500-5	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9500-6		DISPLAYNAME:Pathfinder Module: Dawn of the Scarlet Sun								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9500-6	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9500-7		DISPLAYNAME:Pathfinder Module: We Be Goblins Too!									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9500-7	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9500-8		DISPLAYNAME:Pathfinder Module: Risen from the Sands									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9500-8	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9520		DISPLAYNAME:Pathfinder Module: Crypt of the Everflame									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9520		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9521		DISPLAYNAME:Pathfinder Module: Carrion Hill										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9521		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9522		DISPLAYNAME:Pathfinder Module: Masks of the Living God								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9522		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9523		DISPLAYNAME:Pathfinder Module: Realm of the Fellnight Queen								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9523		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9524		DISPLAYNAME:Pathfinder Module: City of Golden Death									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9524		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9525		DISPLAYNAME:Pathfinder Module: From Shore to Sea									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9525		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9526		DISPLAYNAME:Pathfinder Module: Curse of the Riven Sky									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9526		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9527		DISPLAYNAME:Pathfinder Module: The Witchwar Legacy									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9527		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9528		DISPLAYNAME:Pathfinder Module: The Godsmouth Heresy									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9528		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9529		DISPLAYNAME:Pathfinder Module: Cult of the Ebon Destroyers								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9529		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9530		DISPLAYNAME:Pathfinder Module: Tomb of the Iron Medusa								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9530		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9531		DISPLAYNAME:Pathfinder Module: Academy of Secrets									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9531		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9532		DISPLAYNAME:Pathfinder Module: The Harrowing										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9532		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9533		DISPLAYNAME:Pathfinder Module: The Feast of Ravenmoor									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9533		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9534		DISPLAYNAME:Pathfinder Module: The Ruby Phoenix Tournament								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9534		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9535		DISPLAYNAME:Pathfinder Module: The Midnight Mirror									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9535		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9536		DISPLAYNAME:Pathfinder Module: No Response from Deepmar								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9536		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9537		DISPLAYNAME:Pathfinder Module: The Moonscar										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9537		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9538		DISPLAYNAME:Pathfinder Module: Murder's Mark										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9538		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9539		DISPLAYNAME:Pathfinder Module: Broken Chains										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9539		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9540		DISPLAYNAME:Pathfinder Module: Fangwood Keep										CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9540		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9541		DISPLAYNAME:Pathfinder Module: Doom Comes to Dustpawn									CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9541		DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9542-1		DISPLAYNAME:Pathfinder Module: The Dragon's Demand (1)								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9542-1	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9542-2		DISPLAYNAME:Pathfinder Module: The Dragon's Demand (2)								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9542-2	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9542-3		DISPLAYNAME:Pathfinder Module: The Dragon's Demand (3)								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9542-3	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9542-4		DISPLAYNAME:Pathfinder Module: The Dragon's Demand (4)								CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9542-4	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-01	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Tower Ruins				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-01	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-02	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Cellars					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-02	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-03	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: Splinterden					CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-03	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-04	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: Godhome						CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-04	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-05	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Drowned Level				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-05	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-06	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Clockwork Maze				CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-06	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-07	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: Shrine of the Awakener			CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-07	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
ABILITYCATEGORY:Chronicle_PZO9545-08	DISPLAYNAME:Pathfinder Module: The Emerald Spire Superdungeon: The Circle of Vissk-Thar			CATEGORY:Special Ability	EDITABLE:YES	TYPE:Chronicle_PZO9545-08	DISPLAYLOCATION:Background	VISIBLE:QUALIFY	
