SOURCELONG:OSRIC - Old School Reference & Index Compilation		SOURCESHORT:OSRIC	SOURCEWEB:http://www.knights-n-knaves.com/osric/
Pearl of the Sirines		TYPE:Magic	SOURCEPAGE:p.339
Periapt of Health		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Proof Against Poison		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Wisdom		TYPE:Magic	SOURCEPAGE:p.340
Periapt of Wound Closure		TYPE:Magic	SOURCEPAGE:p.340
Phylactery of Faithfulness		TYPE:Magic	SOURCEPAGE:p.340
Phylactery of Undead Turning		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Haunting		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Pain		TYPE:Magic	SOURCEPAGE:p.340
Pipes of the Sewers		TYPE:Magic	SOURCEPAGE:p.340
Pipes of Sounding		TYPE:Magic	SOURCEPAGE:p.340
Plentiful Vessel		TYPE:Magic	SOURCEPAGE:p.340
Portable Hole		TYPE:Magic	SOURCEPAGE:p.340
Restorative Ointment		TYPE:Magic	SOURCEPAGE:p.340
Ring Gates		TYPE:Magic	SOURCEPAGE:p.340
Robe of the Archmagi		TYPE:Magic	SOURCEPAGE:p.340
Robe of Blending		TYPE:Magic	SOURCEPAGE:p.340
Robe of Bones		TYPE:Magic	SOURCEPAGE:p.340
Robe of Eyes		TYPE:Magic	SOURCEPAGE:p.341
Robe of Scintillating Colours		TYPE:Magic	SOURCEPAGE:p.341
Robe of Stars		TYPE:Magic	SOURCEPAGE:p.341
Robe of Useful Items		TYPE:Magic	SOURCEPAGE:p.341
Rope of Climbing		TYPE:Magic	SOURCEPAGE:p.341
Rope of Entanglement		TYPE:Magic	SOURCEPAGE:p.341
Sagacious Volume		TYPE:Magic	SOURCEPAGE:p.341
Scabbard of Keen Edges		TYPE:Magic	SOURCEPAGE:p.341
Scarab of Protection		TYPE:Magic	SOURCEPAGE:p.342
Scarab of Golem Bane		TYPE:Magic	SOURCEPAGE:p.342
Shrouds of Disintegration		TYPE:Magic	SOURCEPAGE:p.342
Silversheen		TYPE:Magic	SOURCEPAGE:p.342
Slippers of Spider Climbing		TYPE:Magic	SOURCEPAGE:p.342
Sovereign Glue		TYPE:Magic	SOURCEPAGE:p.342
Stone of Alarm		TYPE:Magic	SOURCEPAGE:p.342
Stone of Controlling Earth Elementals		TYPE:Magic	SOURCEPAGE:p.342
Stone of Good Luck		TYPE:Magic	SOURCEPAGE:p.342
Stone Horse		TYPE:Magic	SOURCEPAGE:p.342
Stone Salve		TYPE:Magic	SOURCEPAGE:p.342
Strand of Prayer Beads		TYPE:Magic	SOURCEPAGE:p.342
Sustaining Spoon		TYPE:Magic	SOURCEPAGE:p.343
Thunder Spear		TYPE:Magic	SOURCEPAGE:p.343
Tome of Clear Thought		TYPE:Magic	SOURCEPAGE:p.343
Tome of Leadership and Influence		TYPE:Magic	SOURCEPAGE:p.343
Tome of Understanding		TYPE:Magic	SOURCEPAGE:p.343
Unguent of Timelessness		TYPE:Magic	SOURCEPAGE:p.343
Universal Solvent		TYPE:Magic	SOURCEPAGE:p.343
Vest of Escape		TYPE:Magic	SOURCEPAGE:p.343
Vestment, Druid’s		TYPE:Magic	SOURCEPAGE:p.343
Well of Many Worlds		TYPE:Magic	SOURCEPAGE:p.343
Wind Fan		TYPE:Magic	SOURCEPAGE:p.343
Wings of Flying		TYPE:Magic	SOURCEPAGE:p.343
Rings		TYPE:Magic	SOURCEPAGE:p.343
Ring of Charisma		TYPE:Magic	SOURCEPAGE:p.343
Ring of Feather Falling		TYPE:Magic	SOURCEPAGE:p.343
Ring of Fire Resistance		TYPE:Magic	SOURCEPAGE:p.343
Ring of Free Action		TYPE:Magic	SOURCEPAGE:p.344
Ring of Genie Summoning		TYPE:Magic	SOURCEPAGE:p.344
Ring of Invisibility		TYPE:Magic	SOURCEPAGE:p.344
Ring of Protection		TYPE:Magic	SOURCEPAGE:p.344
Ring of Regeneration		TYPE:Magic	SOURCEPAGE:p.344
Ring of Spell Storing		TYPE:Magic	SOURCEPAGE:p.344
Ring of Spell Turning		TYPE:Magic	SOURCEPAGE:p.344
Ring of Swimming		TYPE:Magic	SOURCEPAGE:p.345
Ring of Telekinesis		TYPE:Magic	SOURCEPAGE:p.345
Ring of Three Wishes		TYPE:Magic	SOURCEPAGE:p.345
Ring of Warmth		TYPE:Magic	SOURCEPAGE:p.345
Ring of Water Walking		TYPE:Magic	SOURCEPAGE:p.345
Ring of Wizardry		TYPE:Magic	SOURCEPAGE:p.345
Cursed Items		TYPE:Magic	SOURCEPAGE:p.345
Amulet of Inescapable Location		TYPE:Magic	SOURCEPAGE:p.347
Armour of Arrow Attraction		TYPE:Magic	SOURCEPAGE:p.347
Armour of Rage		TYPE:Magic	SOURCEPAGE:p.347
Bag of Devouring		TYPE:Magic	SOURCEPAGE:p.347
Boots of Dancing		TYPE:Magic	SOURCEPAGE:p.348
Bracers of Defencelessness		TYPE:Magic	SOURCEPAGE:p.348
Broom of Animated Attack		TYPE:Magic	SOURCEPAGE:p.348
Cloak of Poisonousness		TYPE:Magic	SOURCEPAGE:p.348
Crystal Hypnosis Ball		TYPE:Magic	SOURCEPAGE:p.348
Dust of Sneezing and Choking		TYPE:Magic	SOURCEPAGE:p.348
Flask of Curses		TYPE:Magic	SOURCEPAGE:p.348
Gauntlets of Fumbling		TYPE:Magic	SOURCEPAGE:p.348
Helm of Opposite Alignment		TYPE:Magic	SOURCEPAGE:p.348
Incense of Obsession		TYPE:Magic	SOURCEPAGE:p.349
Mace of Blood		TYPE:Magic	SOURCEPAGE:p.349
Medallion of Thought Projection		TYPE:Magic	SOURCEPAGE:p.349
Necklace of Strangulation		TYPE:Magic	SOURCEPAGE:p.349
Net of Snaring		TYPE:Magic	SOURCEPAGE:p.349
Periapt of Foul Rotting		TYPE:Magic	SOURCEPAGE:p.349
Plate Mail of Vulnerability		TYPE:Magic	SOURCEPAGE:p.349
Ring of Clumsiness		TYPE:Magic	SOURCEPAGE:p.349
Ring of Contrariness		TYPE:Magic	SOURCEPAGE:p.349
Ring of Weakness		TYPE:Magic	SOURCEPAGE:p.350
Robe of Powerlessness		TYPE:Magic	SOURCEPAGE:p.350
Robe of Vermin		TYPE:Magic	SOURCEPAGE:p.350
Scarab of Death		TYPE:Magic	SOURCEPAGE:p.350
Shield -1, Missile Attractor		TYPE:Magic	SOURCEPAGE:p.350
Spear, Cursed Backbiter		TYPE:Magic	SOURCEPAGE:p.350
Stone of Weight, or, Loadstone		TYPE:Magic	SOURCEPAGE:p.350
Sword +1, Cursed		TYPE:Magic	SOURCEPAGE:p.350
Sword -2, Cursed		TYPE:Magic	SOURCEPAGE:p.350
Sword of the Berserker +2		TYPE:Magic	SOURCEPAGE:p.350
Vacuous Grimoire		TYPE:Magic	SOURCEPAGE:p.351

###Block: Artifacts -----------------------------------
Book of Infinite Spells		TYPE:Magic	SOURCEPAGE:p.351
Deck of Many Things		TYPE:Magic	SOURCEPAGE:p.351
Hammer of Thunderbolts		TYPE:Magic	SOURCEPAGE:p.353
Philosopher’s Stone		TYPE:Magic	SOURCEPAGE:p.353
Sphere of Annihilation		TYPE:Magic	SOURCEPAGE:p.353
Talisman of Pure Good		TYPE:Magic	SOURCEPAGE:p.354
Talisman of the Sphere		TYPE:Magic	SOURCEPAGE:p.354
Talisman of Reluctant Wishes	TYPE:Magic	SOURCEPAGE:p.354
Talisman of Pure Evil		TYPE:Magic	SOURCEPAGE:p.354

##EOF
